notice_id_a,notice_id_b,jaccard
N000007,N011663,0.3025152957171992
N000007,N011721,0.27883096366508686
N000007,N011757,0.2619047619047619
N000007,N011761,0.28631756756756754
N000007,N011871,0.28097982708933716
N000007,N011889,0.28225806451612906
N000007,N011910,0.2686935086277732
N000007,N011933,0.2839903459372486
N000008,N000924,0.1555360281195079
N000008,N000925,0.1503823279524214
N000008,N000927,0.15526315789473685
N000008,N001258,0.17865612648221343
N000008,N001261,0.1724137931034483
N000008,N001657,0.18906605922551253
N000008,N001678,0.12579505300353358
N000008,N003263,0.18829516539440203
N000008,N003277,0.1670907548770144
N000008,N003304,0.1262433052792655
N000008,N004084,0.1469161469161469
N000008,N004085,0.17370892018779344
N000008,N004086,0.17384494909945183
N000008,N004143,0.16967792615868027
N000008,N004385,0.16548463356973994
N000008,N004387,0.15900233826968044
N000008,N004388,0.16079632465543645
N000008,N004389,0.16065830721003135
N000008,N004393,0.16496465043205027
N000008,N004730,0.15933528836754643
N000008,N005218,0.1878698224852071
N000008,N005231,0.16666666666666666
N000008,N005232,0.16637010676156583
N000008,N005460,0.18784029038112524
N000008,N005467,0.15612648221343872
N000008,N005468,0.15061963775023832
N000008,N007358,0.16091954022988506
N000008,N011004,0.1717557251908397
N000008,N011324,0.16795865633074936
N000008,N011690,0.16142384105960264
N000008,N011738,0.15405405405405406
N000008,N011887,0.15657439446366783
N000009,N000075,0.15087719298245614
N000009,N000158,0.2513812154696133
N000009,N000199,0.21774193548387097
N000009,N000369,0.1282051282051282
N000009,N000370,0.21983914209115282
N000009,N000462,0.24258760107816713
N000009,N000489,0.22162162162162163
N000009,N000537,0.24864864864864866
N000009,N000854,0.21052631578947367
N000009,N001016,0.24175824175824176
N000009,N001129,0.19948186528497408
N000009,N001142,0.21108179419525067
N000009,N001146,0.2125984251968504
N000009,N001391,0.26721763085399447
N000009,N001788,0.24054054054054055
N000009,N001948,0.232620320855615
N000009,N002075,0.15696649029982362
N000009,N002076,0.15724381625441697
N000009,N002077,0.15696649029982362
N000009,N002449,0.20810810810810812
N000009,N002478,0.2037533512064343
N000009,N002742,0.22933333333333333
