notice_id_a,notice_id_b,label,exact_word5_jaccard,minhash_32,error_32,minhash_64,error_64,minhash_128,error_128,minhash_256,error_256
N001198,N010109,different,0.2690553745928338,0.28125,0.012194625407166204,0.328125,0.059069625407166204,0.2890625,0.020007125407166204,0.26953125,0.00047587540716620413
N011975,N011976,same,0.5850178359096314,0.59375,0.008732164090368588,0.5625,0.022517835909631412,0.5703125,0.014705335909631412,0.55859375,0.026424085909631412
N006419,N007183,different,0.0772818121252498,0.125,0.0477181878747502,0.078125,0.0008431878747501981,0.078125,0.0008431878747501981,0.09375,0.016468187874750198
N010407,N010605,different,0.1515151515151515,0.0625,0.08901515151515149,0.0625,0.08901515151515149,0.0625,0.08901515151515149,0.109375,0.04214015151515149
N009079,N010570,different,0.3605042016806722,0.375,0.01449579831932779,0.328125,0.03237920168067221,0.3125,0.04800420168067221,0.3515625,0.00894170168067221
N001415,N006560,different,0.2685258964143426,0.21875,0.0497758964143426,0.296875,0.028349103585657398,0.28125,0.012724103585657398,0.26953125,0.001005353585657398
N001653,N001654,same,0.5543735224586288,0.59375,0.03937647754137119,0.578125,0.02375147754137119,0.59375,0.03937647754137119,0.55078125,0.003592272458628809
N003355,N003823,different,0.0769230769230769,0.125,0.0480769230769231,0.0625,0.0144230769230769,0.0625,0.0144230769230769,0.078125,0.0012019230769231004
N000355,N005276,different,0.26412092283214,0.3125,0.048379077167859996,0.28125,0.017129077167859996,0.296875,0.032754077167859996,0.2890625,0.024941577167859996
N007573,N007574,same,0.3570110701107011,0.34375,0.0132610701107011,0.34375,0.0132610701107011,0.3671875,0.0101764298892989,0.390625,0.0336139298892989
N007999,N008002,same,0.9117199391171994,0.9375,0.025780060882800604,0.9375,0.025780060882800604,0.9375,0.025780060882800604,0.9296875,0.017967560882800604
N007057,N010814,different,0.0668073136427566,0.0625,0.004307313642756605,0.0625,0.004307313642756605,0.0625,0.004307313642756605,0.078125,0.011317686357243395
N000264,N009708,different,0.2144772117962466,0.3125,0.0980227882037534,0.234375,0.019897788203753403,0.2578125,0.0433352882037534,0.25390625,0.0394290382037534
N008825,N008828,same,0.5317982456140351,0.5,0.0317982456140351,0.53125,0.0005482456140351033,0.625,0.0932017543859649,0.57421875,0.0424205043859649
N001284,N006893,different,0.1234298197706171,0.1875,0.0640701802293829,0.15625,0.032820180229382906,0.1328125,0.009382680229382906,0.12890625,0.005476430229382906
N011033,N011035,same,0.9331243469174504,0.9375,0.004375653082549613,0.9375,0.004375653082549613,0.953125,0.020000653082549613,0.94921875,0.016094403082549613
N004348,N004349,same,0.4239244491080797,0.40625,0.017674449108079693,0.34375,0.08017444910807969,0.4375,0.013575550891920307,0.421875,0.002049449108079693
N004177,N010930,different,0.1464566929133858,0.21875,0.07229330708661419,0.1875,0.04104330708661419,0.1484375,0.001980807086614189,0.17578125,0.02932455708661419
N003845,N003847,same,0.6045454545454545,0.5625,0.0420454545454545,0.625,0.020454545454545503,0.671875,0.0673295454545455,0.58984375,0.014701704545454497
N004106,N004107,same,0.2232854864433811,0.09375,0.1295354864433811,0.125,0.09828548644338109,0.2265625,0.003277013556618913,0.24609375,0.022808263556618913
N007911,N009413,different,0.1477024070021881,0.09375,0.05395240700218809,0.078125,0.06957740700218809,0.0703125,0.07738990700218809,0.12890625,0.01879615700218809
N001010,N001011,same,0.276456111566858,0.5,0.223543888433142,0.4375,0.161043888433142,0.34375,0.06729388843314199,0.296875,0.02041888843314199
N009213,N010572,different,0.1050818260120585,0.09375,0.011331826012058496,0.0625,0.042581826012058496,0.0859375,0.019144326012058496,0.0859375,0.019144326012058496
N006364,N006366,same,0.2250879249706917,0.15625,0.06883792497069169,0.15625,0.06883792497069169,0.2109375,0.014150424970691688,0.21875,0.0063379249706916885
N001447,N003703,different,0.1397306397306397,0.21875,0.0790193602693603,0.125,0.014730639730639705,0.078125,0.061605639730639705,0.1015625,0.038168139730639705
N009727,N010185,different,0.0970654627539503,0.1875,0.0904345372460497,0.125,0.027934537246049704,0.109375,0.012309537246049704,0.12890625,0.031840787246049704
N000605,N002652,different,0.1330724070450097,0.125,0.008072407045009694,0.125,0.008072407045009694,0.125,0.008072407045009694,0.14453125,0.011458842954990306
N004016,N004017,same,0.2031578947368421,0.25,0.04684210526315791,0.140625,0.06253289473684209,0.1953125,0.007845394736842093,0.19921875,0.003939144736842093
N010689,N011576,different,0.0894886363636363,0.0625,0.026988636363636298,0.046875,0.0426136363636363,0.0546875,0.0348011363636363,0.08984375,0.00035511363636370197
N001733,N001734,same,0.6893787575150301,0.75,0.06062124248496992,0.765625,0.07624624248496992,0.7109375,0.021558742484969917,0.69921875,0.009839992484969917
N004845,N007461,different,0.0921630094043887,0.125,0.03283699059561131,0.109375,0.017211990595611307,0.078125,0.014038009404388693,0.09765625,0.005493240595611307
N010880,N010881,same,0.8031400966183575,0.84375,0.0406099033816425,0.828125,0.024984903381642498,0.8125,0.009359903381642498,0.80859375,0.005453653381642498
N000498,N001176,different,0.1601005867560771,0.21875,0.05864941324392289,0.15625,0.0038505867560771068,0.1640625,0.003961913243922893,0.20703125,0.04693066324392289
N001285,N003729,different,0.1102484472049689,0.15625,0.0460015527950311,0.09375,0.016498447204968902,0.0859375,0.024310947204968902,0.1015625,0.008685947204968902
N006173,N008196,different,0.14765625,0.21875,0.07109375000000001,0.140625,0.007031249999999989,0.1171875,0.03046874999999999,0.15625,0.008593750000000011
N008110,N009707,different,0.3269372693726937,0.34375,0.016812730627306316,0.375,0.048062730627306316,0.28125,0.045687269372693684,0.328125,0.001187730627306316
N007193,N010619,different,0.368075117370892,0.46875,0.10067488262910801,0.421875,0.05379988262910801,0.3515625,0.01651261737089199,0.37890625,0.010831132629108009
N000561,N003679,different,0.323671497584541,0.28125,0.042421497584541,0.25,0.073671497584541,0.265625,0.058046497584541,0.28515625,0.038515247584541
N003026,N003027,same,0.5643678160919541,0.53125,0.03311781609195408,0.546875,0.017492816091954078,0.53125,0.03311781609195408,0.5546875,0.009680316091954078
N004552,N004553,same,0.6983523447401775,0.8125,0.11414765525982251,0.765625,0.06727265525982251,0.734375,0.03602265525982251,0.734375,0.03602265525982251
N007647,N009169,different,0.3389687235841082,0.40625,0.06728127641589182,0.375,0.03603127641589182,0.3046875,0.03428122358410818,0.33984375,0.000875026415891822
N005744,N010823,different,0.2867647058823529,0.3125,0.02573529411764708,0.34375,0.05698529411764708,0.3515625,0.06479779411764708,0.35546875,0.06870404411764708
N001880,N002772,different,0.0958445040214477,0.0625,0.0333445040214477,0.046875,0.0489695040214477,0.0546875,0.0411570040214477,0.0859375,0.009907004021447702
N003351,N006982,different,0.1141998497370398,0.1875,0.0733001502629602,0.109375,0.004824849737039796,0.109375,0.004824849737039796,0.1171875,0.0029876502629602036
N006591,N011935,different,0.1929555895865237,0.3125,0.1195444104134763,0.234375,0.0414194104134763,0.1875,0.005455589586523701,0.17578125,0.0171743395865237
N008482,N010584,different,0.1490196078431372,0.21875,0.0697303921568628,0.15625,0.007230392156862803,0.1171875,0.0318321078431372,0.1484375,0.0005821078431371973
