notice_id,portal_id,configuration,candidate_count
N002685,P006,32x4,86
N002686,P005,32x4,8
N002691,P002,32x4,302
N002700,P003,32x4,145
N002707,P006,32x4,165
N002729,P236,32x4,0
N002748,P003,32x4,88
N002758,P241,32x4,3
N002762,P248,32x4,1
N002765,P005,32x4,265
N002772,P006,32x4,91
N002774,P080,32x4,0
N002786,P006,32x4,13
N002792,P001,32x4,43
N002801,P122,32x4,1
N002802,P002,32x4,200
N002811,P162,32x4,1
N002814,P040,32x4,1
N002817,P002,32x4,138
N002818,P096,32x4,2
N002819,P004,32x4,151
N002821,P006,32x4,122
N002826,P004,32x4,33
N002831,P006,32x4,90
N002852,P094,32x4,1
N002853,P001,32x4,210
N002857,P004,32x4,70
N002862,P144,32x4,0
N002902,P074,32x4,0
N002916,P140,32x4,1
N002919,P214,32x4,1
N002920,P052,32x4,1
N002923,P002,32x4,17
N002928,P004,32x4,76
N002931,P107,32x4,5
N002945,P001,32x4,194
N002947,P002,32x4,121
N002952,P076,32x4,1
N002955,P001,32x4,114
N002957,P003,32x4,13
N002970,P001,32x4,159
N002973,P001,32x4,267
N002974,P005,32x4,131
N002992,P003,32x4,35
N003008,P211,32x4,1
N003019,P005,32x4,140
N003020,P003,32x4,97
N003021,P005,32x4,153
N003022,P227,32x4,0
N003026,P217,32x4,1
N003027,P006,32x4,11
N003050,P002,32x4,41
N003051,P001,32x4,107
N003058,P138,32x4,0
N003079,P001,32x4,275
N003093,P004,32x4,6
N003107,P006,32x4,140
N003121,P004,32x4,134
N003124,P055,32x4,5
N003125,P219,32x4,5
N003126,P001,32x4,236
N003127,P240,32x4,4
N003135,P128,32x4,3
N003144,P001,32x4,247
N003158,P068,32x4,0
N003164,P094,32x4,0
N003185,P215,32x4,4
N003201,P002,32x4,306
N003203,P001,32x4,306
N003208,P003,32x4,79
N003224,P005,32x4,120
N003228,P094,32x4,0
N003236,P005,32x4,201
N003264,P097,32x4,4
N003265,P117,32x4,7
N003267,P160,32x4,4
N003268,P001,32x4,28
N003269,P243,32x4,5
N003270,P005,32x4,282
N003274,P006,32x4,127
N003281,P112,32x4,0
N003288,P001,32x4,9
N003301,P246,32x4,0
N003302,P002,32x4,204
N003308,P006,32x4,5
N003310,P184,32x4,1
N003317,P036,32x4,0
N003319,P006,32x4,76
N003327,P005,32x4,48
N003328,P065,32x4,1
N003338,P003,32x4,94
N003351,P005,32x4,4
N003355,P003,32x4,51
N003362,P094,32x4,1
N003364,P232,32x4,1
N003372,P148,32x4,0
N003382,P002,32x4,15
N003403,P002,32x4,199
N003415,P005,32x4,194
N003418,P185,32x4,1
N003422,P001,32x4,100
N003427,P125,32x4,2
N003435,P249,32x4,1
N003437,P005,32x4,133
N003450,P003,32x4,95
N003466,P094,32x4,1
N003469,P001,32x4,180
N003476,P108,32x4,1
N003489,P042,32x4,0
N003494,P209,32x4,4
N003495,P001,32x4,270
